age,attrition,business_travel,distance_from_home,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,num_companies_worked,over_time,percent_salary_hike,relationship_satisfaction,standard_hours,stock_option_level,worklife_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,remote_work,monthly_income_$,total_working_years
41,yes,travel_rarely,12,3,unknown,2,F,3,5, research director ,3,married,1,No,12,4,full-time,0,3,22,15,8,no,19545,32
55,no,non-travel,14,4,medical,3,M,4,5, research director ,2,single,8,No,11,4,full-time,0,3,24,2,15,yes,6399,11
40,no,travel_rarely,2,4,unknown,3,F,3,5, manager ,3,unknown,0,No,14,4,full-time,0,3,20,1,12,no,18041,30
58,yes,travel_rarely,2,4,unknown,4,M,3,5, research director ,2,single,7,Yes,12,4,full-time,0,3,31,13,8,no,19246,40
46,no,travel_rarely,2,3,unknown,3,F,3,4, manager ,1,unknown,8,unknown,23,1,full-time,0,3,26,15,9,no,14705,28
35,no,non-travel,13,5,life sciences,2,M,4,2, research scientist ,1,married,1,unknown,11,4,full-time,0,3,16,1,10,no,6399,11
40,no,travel_rarely,15,3,life sciences,1,F,2,3, manufacturing director ,3,unknown,1,unknown,13,4,full-time,2,3,18,14,12,yes,9665,18
45,no,non-travel,1,1,unknown,3,M,2,3, healthcare representative ,3,unknown,3,unknown,23,4,full-time,1,2,23,14,4,no,10748,25
33,no,non-travel,1,2,life sciences,1,F,3,3, research director ,4,single,1,Yes,12,3,full-time,0,3,15,8,12,yes,8153,15
36,no,non-travel,8,3,unknown,3,F,3,3, healthcare representative ,3,divorced,1,unknown,13,2,full-time,3,3,17,12,8,yes,9161,17
47,no,non-travel,2,2,other,3,F,3,4, manager ,4,married,1,unknown,11,3,part-time,1,2,26,3,0,no,16752,28
36,no,travel_rarely,42,2,life sciences,42,M,3,2, sales executive ,4,unknown,1,unknown,14,4,full-time,1,3,18,4,11,yes,6201,18
35,no,non-travel,9,3,life sciences,4,F,2,3, manufacturing director ,3,married,1,Yes,20,2,part-time,1,3,17,5,15,no,9161,17
52,yes,non-travel,2,1,unknown,1,F,1,5, manager ,4,married,1,No,15,4,full-time,1,3,32,6,9,yes,19845,33
36,no,non-travel,2,4,life sciences,3,F,3,2, manufacturing director ,2,single,9,Yes,11,4,full-time,0,3,16,5,12,no,9665,18
33,no,travel_rarely,28,4,life sciences,2,M,3,2, laboratory technician ,3,married,1,unknown,12,2,full-time,1,3,15,5,7,yes,8153,15
34,no,non-travel,10,3,life sciences,4,M,3,2, sales executive ,3,unknown,1,Yes,14,3,full-time,1,3,15,0,7,yes,4001,15
41,no,non-travel,37,1,unknown,37,F,3,3, sales executive ,3,divorced,0,unknown,13,4,full-time,1,4,22,13,5,yes,10447,18
47,no,non-travel,25,3,medical,1,M,3,3, healthcare representative ,3,unknown,2,unknown,23,2,full-time,0,3,17,12,11,yes,13193,25
53,no,travel_rarely,5,3,unknown,3,F,3,5, manager ,3,unknown,4,unknown,11,4,full-time,1,2,14,4,8,yes,13697,26
35,no,non-travel,1,4,marketing,3,M,2,2, sales executive ,1,single,0,No,14,2,part-time,0,3,15,2,8,no,8657,16
34,no,travel_rarely,6,4,other,1,F,3,2, research scientist ,3,single,1,unknown,14,3,full-time,0,3,16,2,10,yes,8657,16
46,no,travel_rarely,1,2,unknown,2,F,3,3, sales executive ,1,divorced,1,No,25,3,full-time,3,3,24,15,7,yes,12689,24
43,no,non-travel,16,3,unknown,4,F,3,4, manager ,4,married,5,unknown,22,3,full-time,1,3,17,1,9,yes,16064,22
36,no,non-travel,6,3,life sciences,4,M,3,1, laboratory technician ,4,married,0,unknown,11,3,full-time,1,3,15,10,11,yes,3210,16
60,no,travel_frequently,28,3,unknown,3,F,2,3, sales executive ,1,married,4,No,19,4,full-time,0,4,18,13,11,yes,10266,22
40,no,travel_frequently,5,4,unknown,4,M,2,3, sales executive ,1,married,5,Yes,21,3,part-time,1,3,18,1,12,no,10475,20
32,no,travel_rarely,4,3,unknown,3,F,2,2, manufacturing director ,3,married,1,No,12,3,part-time,1,3,14,6,8,no,6162,14
41,no,travel_rarely,35,3,unknown,35,M,3,1, laboratory technician ,1,single,2,Yes,13,3,full-time,0,3,18,2,17,yes,4721,20
53,no,non-travel,2,2,medical,3,M,3,4, manager ,3,divorced,6,No,13,3,full-time,1,4,17,15,2,no,11681,22
36,yes,travel_rarely,16,4,unknown,3,F,4,1, laboratory technician ,1,single,1,unknown,16,3,part-time,0,3,17,15,14,yes,9665,18
46,no,non-travel,8,4,life sciences,4,F,2,2, research scientist ,1,divorced,8,Yes,23,1,full-time,3,3,16,1,7,no,4615,8
38,no,travel_rarely,1,4,unknown,4,M,3,2, sales executive ,2,married,0,No,15,1,full-time,2,3,15,5,8,yes,8657,16
51,no,non-travel,1,4,unknown,1,F,2,3, healthcare representative ,1,single,3,unknown,20,3,full-time,0,2,13,12,8,yes,12185,23
43,no,non-travel,26,2,unknown,3,M,3,4, manager ,4,married,1,Yes,12,4,part-time,2,4,25,4,12,yes,16959,25
37,no,non-travel,1,3,life sciences,4,F,3,1, research scientist ,4,single,1,No,12,2,part-time,0,3,17,5,7,yes,6399,11
32,no,travel_rarely,8,2,technical degree,3,F,2,2, sales executive ,2,married,1,Yes,11,4,part-time,0,3,13,11,9,yes,6399,11
38,no,non-travel,1,3,unknown,4,F,3,3, research director ,1,married,1,unknown,13,2,full-time,1,3,15,5,11,no,8153,15
46,no,non-travel,3,3,life sciences,3,F,3,4, manager ,2,unknown,8,No,12,4,part-time,1,4,13,5,1,yes,12185,23
35,yes,travel_rarely,10,3,medical,4,M,2,3, sales executive ,1,married,9,unknown,17,3,full-time,0,3,13,6,0,no,10306,15
43,no,non-travel,6,3,medical,1,F,2,5, manager ,3,married,7,No,13,4,full-time,0,3,16,6,14,yes,11177,21
56,no,non-travel,1,4,life sciences,3,M,3,2, healthcare representative ,3,divorced,1,No,21,1,full-time,1,2,13,1,9,yes,6399,11
36,no,non-travel,15,4,marketing,4,M,1,2, sales executive ,4,divorced,1,No,24,1,part-time,1,2,15,11,11,yes,5406,9
38,no,non-travel,6,3,medical,2,F,1,2, research scientist ,4,unknown,7,unknown,12,4,full-time,3,3,13,1,9,yes,9161,17
49,no,non-travel,26,4,medical,3,F,3,2, manufacturing director ,1,unknown,1,No,14,3,full-time,0,2,15,5,11,no,8657,16
39,no,travel_rarely,4,4,life sciences,4,F,2,2, sales executive ,3,married,4,unknown,14,3,part-time,1,4,15,5,9,yes,5902,17
40,no,non-travel,4,4,unknown,3,M,2,3, sales executive ,4,married,7,No,11,1,full-time,1,2,12,2,11,yes,10855,15
36,no,non-travel,5,2,unknown,4,M,3,2, laboratory technician ,2,single,8,No,16,4,part-time,0,4,13,3,7,yes,5914,16
37,no,non-travel,25,5,unknown,2,F,3,2, research scientist ,3,married,3,Yes,15,1,part-time,2,3,13,10,7,no,8153,15
35,no,non-travel,6,4,unknown,2,M,1,2, research scientist ,4,unknown,1,unknown,13,2,full-time,0,3,17,11,8,yes,6646,11
33,no,travel_frequently,6,3,life sciences,3,M,3,2, healthcare representative ,4,divorced,3,No,23,3,full-time,1,1,13,4,7,no,8153,15
50,no,travel_rarely,24,3,unknown,4,M,3,4, manufacturing director ,3,married,3,Yes,18,4,full-time,1,3,12,1,5,no,13973,22
48,no,travel_rarely,4,4,unknown,3,M,2,3, healthcare representative ,3,single,7,unknown,14,2,part-time,0,3,15,4,8,yes,14201,27
44,no,travel_rarely,28,3,unknown,4,F,4,4, sales executive ,4,married,3,unknown,18,3,part-time,1,3,12,11,11,yes,13320,22
44,no,travel_rarely,29,4,unknown,4,M,3,2, research scientist ,4,single,1,unknown,25,2,full-time,0,3,20,13,17,yes,6399,11
40,no,non-travel,25,1,unknown,25,F,4,2, healthcare representative ,3,unknown,5,No,20,2,full-time,3,3,12,11,8,yes,8153,15
34,no,travel_rarely,2,4,unknown,3,F,3,2, healthcare representative ,4,single,1,unknown,11,4,part-time,0,4,14,4,11,yes,6687,14
35,no,non-travel,8,4,unknown,3,F,3,2, healthcare representative ,3,unknown,1,unknown,12,4,part-time,1,3,14,2,9,yes,6399,11
50,no,non-travel,17,5,life sciences,4,F,2,3, research director ,1,unknown,5,No,15,3,full-time,3,3,14,1,11,no,6399,11
49,no,non-travel,6,1,life sciences,3,F,2,4, healthcare representative ,3,unknown,2,unknown,19,2,part-time,1,3,15,2,12,yes,6399,11
38,no,travel_frequently,1,3,life sciences,4,M,3,2, research scientist ,4,unknown,7,No,15,4,part-time,2,3,13,2,9,yes,4735,19
33,no,non-travel,21,3,unknown,2,M,4,1, laboratory technician ,2,unknown,1,No,18,4,full-time,3,3,14,2,13,yes,7649,14
47,no,travel_rarely,4,3,life sciences,3,F,2,3, manufacturing director ,2,divorced,8,Yes,12,3,full-time,1,3,22,14,10,yes,6399,11
38,no,non-travel,8,3,unknown,4,F,2,2, research scientist ,2,divorced,1,unknown,16,3,full-time,1,3,20,0,7,no,10673,20
37,no,travel_rarely,10,3,life sciences,3,F,4,3, research director ,4,unknown,1,Yes,25,1,full-time,1,3,16,6,8,yes,8657,16
30,no,non-travel,2,3,unknown,3,M,2,2, healthcare representative ,4,married,1,No,19,1,part-time,3,3,11,10,8,yes,6137,11
58,no,travel_rarely,18,4,unknown,4,M,3,4, sales executive ,3,single,0,unknown,13,3,full-time,0,2,37,1,8,yes,13872,38
34,no,travel_rarely,5,3,unknown,3,F,2,3, manager ,1,single,2,unknown,12,4,part-time,0,3,11,5,8,no,7649,14
58,yes,travel_rarely,23,4,medical,4,F,3,3, healthcare representative ,4,married,1,unknown,12,4,full-time,1,2,40,15,6,yes,20753,40
38,no,non-travel,3,3,life sciences,1,M,3,3, sales executive ,3,divorced,0,unknown,12,3,full-time,2,2,16,5,13,yes,6399,11
29,no,travel_frequently,1,1,unknown,2,F,3,3, sales executive ,4,married,1,unknown,14,4,full-time,1,3,11,4,1,yes,6137,11
55,no,travel_rarely,1,3,medical,4,M,3,5, manager ,1,single,0,unknown,14,3,full-time,0,3,36,4,13,yes,19045,37
41,no,non-travel,10,4,unknown,4,M,3,4, manager ,2,unknown,1,unknown,19,2,full-time,0,3,22,0,4,yes,16015,26
39,no,travel_rarely,1,3,unknown,3,M,4,3, healthcare representative ,4,unknown,0,No,17,1,part-time,3,2,18,3,7,no,9613,19
38,no,non-travel,15,2,life sciences,3,M,2,3, research director ,4,unknown,0,unknown,14,2,full-time,1,3,11,2,9,yes,11510,19
43,no,non-travel,12,3,unknown,1,M,2,4, research director ,2,unknown,1,No,11,3,part-time,1,3,25,3,9,yes,6399,11
31,no,non-travel,30,2,unknown,2,F,3,2, manufacturing director ,1,married,1,No,12,2,part-time,1,1,13,3,12,yes,4306,13
50,no,travel_rarely,27,4,life sciences,27,M,2,4, manager ,3,married,0,No,15,2,full-time,1,3,27,15,7,yes,17046,28
35,no,non-travel,25,3,technical degree,4,M,2,3, manufacturing director ,2,married,3,No,16,1,full-time,0,3,13,4,8,no,6399,11
47,no,non-travel,16,4,unknown,3,M,4,2, manufacturing director ,3,unknown,1,Yes,19,3,full-time,0,3,19,2,7,yes,5067,20
35,no,non-travel,25,4,unknown,3,F,3,3, healthcare representative ,3,divorced,1,Yes,11,3,full-time,1,2,16,10,1,yes,6399,11
40,no,travel_rarely,20,4,unknown,1,M,3,3, healthcare representative ,4,married,4,unknown,20,4,full-time,1,3,11,11,1,yes,7649,14
45,no,non-travel,9,4,life sciences,2,F,2,2, sales executive ,3,married,1,unknown,13,4,part-time,1,3,15,4,12,no,8153,15
33,no,non-travel,9,3,medical,1,M,3,1, research scientist ,4,married,0,unknown,13,2,full-time,1,3,14,4,10,no,8153,15
36,no,travel_frequently,3,3,unknown,3,M,3,1, research scientist ,2,married,1,No,12,3,full-time,0,2,11,0,7,no,3692,12
45,yes,non-travel,13,3,marketing,1,F,1,5, manager ,2,unknown,2,Yes,16,1,full-time,0,3,24,1,11,yes,13697,26
51,no,travel_frequently,27,3,unknown,27,M,3,5, manager ,2,unknown,4,Yes,24,1,full-time,1,2,29,11,10,no,19847,33
34,no,travel_rarely,7,2,technical degree,2,M,3,1, sales representative ,3,unknown,0,Yes,25,2,full-time,1,3,11,5,7,no,2308,12
43,no,travel_rarely,15,2,unknown,3,M,2,4, research director ,3,unknown,1,No,24,1,full-time,1,3,14,6,11,yes,6399,11
34,no,non-travel,5,2,medical,2,M,2,2, laboratory technician ,4,unknown,1,No,14,3,full-time,1,3,15,4,13,no,6399,11
38,no,non-travel,2,3,unknown,1,M,3,1, human resources ,2,divorced,5,No,13,4,full-time,3,3,11,3,8,yes,7145,13
48,no,non-travel,10,3,unknown,4,M,2,5, research director ,2,unknown,4,No,12,4,full-time,0,3,22,12,9,no,15209,29
34,no,non-travel,22,4,other,3,M,2,2, research scientist ,4,married,1,Yes,15,2,full-time,0,3,15,6,11,no,5747,16
32,no,travel_rarely,31,4,unknown,31,F,3,3, sales executive ,4,unknown,1,No,19,3,full-time,2,3,14,5,7,yes,10422,14
29,no,travel_rarely,21,4,life sciences,2,F,4,3, manufacturing director ,1,divorced,1,No,11,3,full-time,1,3,10,8,8,no,5633,10
46,no,non-travel,1,3,medical,3,M,2,3, healthcare representative ,1,married,2,Yes,13,3,full-time,1,2,10,9,5,no,11177,21
30,no,non-travel,9,3,unknown,3,M,3,2, human resources ,4,married,0,Yes,19,4,part-time,0,1,11,4,7,no,6347,11
45,no,non-travel,9,3,life sciences,2,M,3,2, laboratory technician ,2,unknown,8,No,18,3,full-time,1,3,17,0,15,yes,2348,20
30,no,travel_rarely,5,3,unknown,2,F,3,3, sales executive ,4,unknown,2,No,12,3,full-time,1,3,10,7,4,yes,6399,11
30,no,non-travel,9,3,unknown,3,M,3,2, laboratory technician ,1,unknown,1,No,11,3,part-time,2,3,12,6,10,yes,3072,12
34,no,travel_frequently,29,1,unknown,4,M,2,2, manufacturing director ,3,married,1,unknown,17,3,full-time,0,2,10,1,9,no,5633,10
51,no,travel_rarely,8,4,life sciences,2,M,2,3, research director ,2,married,5,No,16,4,full-time,2,1,10,4,7,no,12490,16
34,no,non-travel,39,4,life sciences,39,M,2,2, manufacturing director ,1,unknown,6,unknown,13,2,full-time,1,3,11,5,9,yes,7145,13
35,no,travel_rarely,16,3,unknown,3,M,3,3, sales executive ,2,married,0,unknown,15,3,full-time,2,2,11,6,9,yes,8020,12
45,no,travel_frequently,7,3,life sciences,1,M,3,3, laboratory technician ,1,unknown,1,unknown,18,1,full-time,1,3,24,9,11,yes,12689,24
39,no,non-travel,10,1,unknown,3,M,3,4, manager ,1,married,1,unknown,14,4,full-time,0,3,21,11,10,yes,17068,21
31,no,non-travel,7,2,unknown,3,F,2,3, manufacturing director ,3,married,1,No,24,1,full-time,1,3,10,8,9,no,8943,10
39,no,non-travel,7,2,unknown,3,M,2,5, manager ,4,married,1,unknown,15,1,full-time,1,3,21,13,3,yes,19272,32
45,no,travel_rarely,8,4,unknown,4,M,3,2, research scientist ,4,unknown,9,No,14,1,part-time,2,3,10,9,8,yes,6641,12
30,no,travel_rarely,5,3,marketing,4,F,2,2, sales executive ,3,unknown,1,unknown,13,3,full-time,3,3,10,1,2,yes,5633,10
31,no,non-travel,7,4,medical,3,F,3,3, manufacturing director ,4,unknown,1,unknown,14,3,full-time,0,2,11,4,10,no,6137,11
36,no,non-travel,3,4,medical,1,M,2,3, sales executive ,4,married,4,No,11,1,full-time,1,3,13,1,12,yes,8657,16
36,no,travel_rarely,2,2,unknown,2,M,2,3, sales executive ,3,married,1,unknown,13,2,full-time,2,3,10,9,0,yes,5633,10
55,no,travel_rarely,18,5,unknown,1,F,3,4, manager ,2,single,3,No,23,4,full-time,0,3,10,7,7,yes,19241,37
35,no,non-travel,1,3,unknown,2,M,3,2, sales executive ,3,unknown,9,unknown,11,3,full-time,0,3,11,6,9,yes,8153,15
42,no,travel_rarely,24,3,medical,4,M,3,3, manufacturing director ,1,married,1,unknown,21,4,part-time,1,2,10,5,8,no,5633,10
52,no,travel_rarely,6,2,unknown,4,M,3,2, research scientist ,1,divorced,3,Yes,12,2,full-time,2,3,10,6,9,yes,5577,18
49,no,non-travel,18,4,life sciences,4,M,2,5, research director ,3,unknown,1,Yes,17,3,full-time,1,3,31,0,9,yes,6399,11
34,no,travel_rarely,1,5,unknown,2,M,3,1, research scientist ,4,married,1,No,12,4,part-time,1,2,10,8,8,yes,2691,5
33,yes,travel_rarely,1,4,other,4,M,3,1, research scientist ,4,single,1,unknown,13,3,part-time,0,2,10,7,8,no,5633,10
33,no,non-travel,7,3,medical,3,M,3,3, research director ,3,married,0,No,11,4,full-time,0,4,13,3,7,yes,6399,11
53,no,travel_rarely,23,4,unknown,4,F,3,4, research director ,4,unknown,6,No,18,3,full-time,0,3,12,3,8,yes,17225,33
49,no,travel_rarely,8,2,other,1,F,3,3, laboratory technician ,2,married,4,unknown,11,3,full-time,1,2,26,1,7,no,7403,29
35,no,non-travel,21,4,unknown,21,M,3,3, sales executive ,4,unknown,6,unknown,13,2,part-time,1,3,10,0,8,no,6399,11
38,no,travel_rarely,17,1,life sciences,3,F,2,3, healthcare representative ,3,married,0,unknown,18,1,full-time,1,2,19,1,9,no,8823,20
46,no,non-travel,3,1,marketing,1,M,3,4, manager ,3,married,3,No,12,4,full-time,1,3,12,4,9,no,6399,11
36,no,non-travel,18,4,unknown,1,M,3,2, manufacturing director ,4,single,2,unknown,20,1,full-time,0,3,11,0,9,no,9665,18
42,yes,travel_frequently,15,3,life sciences,15,M,3,4, sales executive ,1,single,0,unknown,12,2,full-time,0,2,21,13,14,yes,6399,11
34,no,travel_frequently,1,3,unknown,4,M,2,2, healthcare representative ,1,single,0,No,20,3,full-time,0,3,13,4,9,yes,7649,14
30,no,travel_rarely,1,3,medical,4,M,3,1, research scientist ,2,unknown,0,Yes,21,1,full-time,1,3,11,5,7,yes,3579,12
54,no,travel_rarely,3,3,life sciences,4,M,3,4, research director ,4,married,3,No,14,1,part-time,0,3,10,0,9,yes,17779,36
31,no,travel_rarely,24,3,medical,3,F,2,2, healthcare representative ,1,single,1,No,19,2,full-time,0,3,10,1,8,no,5633,10
44,no,non-travel,5,3,unknown,2,M,3,5, manager ,2,married,7,No,11,3,part-time,1,3,22,3,10,yes,18213,26
55,no,non-travel,8,1,unknown,4,M,2,4, healthcare representative ,2,divorced,1,Yes,15,4,full-time,1,3,33,15,0,no,13577,23
44,no,travel_rarely,4,2,life sciences,3,M,4,5, manager ,1,divorced,1,No,14,4,full-time,2,2,25,14,13,no,19190,32
34,no,travel_frequently,11,3,life sciences,3,M,2,2, human resources ,2,unknown,4,No,11,4,full-time,2,4,10,1,8,yes,7649,14
39,no,non-travel,13,4,unknown,3,F,2,4, manager ,2,divorced,6,Yes,13,4,full-time,2,3,19,15,2,no,17123,28
55,no,travel_rarely,2,2,medical,4,F,1,5, manager ,3,unknown,4,unknown,14,4,full-time,1,3,19,9,11,yes,19187,23
51,no,non-travel,5,3,life sciences,3,M,3,4, manager ,2,unknown,1,unknown,11,2,part-time,1,3,33,0,10,yes,6399,11
58,yes,non-travel,14,4,medical,14,F,2,3, manufacturing director ,1,married,7,unknown,14,4,part-time,0,2,10,5,9,yes,10008,17
48,no,non-travel,4,3,life sciences,4,M,3,3, manufacturing director ,4,single,1,No,11,3,full-time,0,3,10,0,8,yes,6137,11
29,no,travel_rarely,17,3,unknown,2,M,2,3, human resources ,1,single,1,unknown,13,1,full-time,0,2,10,0,9,no,7988,14
34,no,non-travel,3,3,other,4,M,1,2, sales executive ,1,single,3,No,18,4,part-time,0,3,13,3,12,yes,8153,15
42,no,travel_frequently,9,2,unknown,1,F,3,1, laboratory technician ,4,unknown,1,unknown,13,3,full-time,0,3,12,5,8,yes,6641,12
57,no,travel_rarely,1,2,life sciences,2,M,4,2, research scientist ,3,married,0,No,24,1,full-time,1,2,12,2,8,yes,7145,13
34,yes,travel_rarely,24,4,unknown,1,F,2,2, sales executive ,2,single,0,Yes,23,3,full-time,0,4,15,10,10,no,8657,16
54,no,travel_frequently,11,4,medical,2,F,3,4, manager ,4,unknown,3,No,20,1,full-time,1,3,14,1,12,yes,13697,26
34,no,travel_rarely,1,3,unknown,4,M,2,3, sales executive ,3,unknown,1,unknown,14,4,part-time,0,3,10,8,6,no,7083,12
29,no,non-travel,3,1,medical,2,M,3,1, laboratory technician ,1,single,1,unknown,18,4,full-time,0,3,10,1,5,yes,4723,8
35,no,travel_rarely,28,3,life sciences,2,M,4,2, laboratory technician ,3,unknown,1,unknown,17,4,full-time,2,2,10,6,8,yes,3407,6
35,yes,non-travel,12,4,other,4,M,3,2, sales executive ,4,unknown,3,unknown,24,1,full-time,0,4,11,6,7,yes,7145,13
34,no,travel_rarely,19,3,life sciences,2,F,2,1, research scientist ,4,married,1,No,12,2,full-time,0,3,10,8,7,yes,2929,10
43,no,non-travel,2,3,unknown,4,M,3,2, sales executive ,4,unknown,1,Yes,17,1,full-time,1,3,10,8,8,no,5633,10
58,no,non-travel,2,3,medical,2,M,3,4, manager ,2,divorced,4,No,22,4,full-time,1,2,16,14,14,yes,19241,37
36,no,travel_rarely,14,4,unknown,14,F,2,2, sales executive ,3,married,1,Yes,13,1,full-time,1,3,10,1,7,no,5633,10
43,no,travel_rarely,11,3,life sciences,1,M,3,3, healthcare representative ,3,married,1,unknown,17,2,full-time,1,3,10,0,9,yes,5633,10
55,no,non-travel,26,4,human resources,3,M,4,5, manager ,2,married,4,Yes,18,1,part-time,1,3,10,1,4,yes,18233,35
42,no,non-travel,23,2,unknown,4,M,2,2, research scientist ,3,single,1,unknown,12,4,part-time,0,3,20,3,7,yes,10673,20
40,no,non-travel,11,3,technical degree,4,F,3,2, laboratory technician ,3,married,1,unknown,11,1,full-time,1,4,10,9,4,yes,5633,10
56,yes,non-travel,7,2,technical degree,4,M,3,1, laboratory technician ,3,married,8,No,11,4,part-time,1,1,10,9,8,yes,7649,14
39,no,travel_rarely,33,1,marketing,33,F,2,4, sales executive ,4,unknown,0,unknown,11,1,part-time,1,2,20,9,6,yes,12031,20
53,no,travel_rarely,2,4,life sciences,1,F,2,4, manager ,4,married,2,No,16,3,part-time,0,3,25,3,7,yes,15427,25
27,no,travel_frequently,8,3,unknown,4,M,3,3, sales executive ,3,single,1,No,15,4,full-time,0,3,9,1,7,no,5129,9
30,no,travel_frequently,1,2,unknown,3,F,3,2, laboratory technician ,4,unknown,1,unknown,23,4,full-time,0,3,12,3,7,yes,6641,12
35,no,non-travel,18,5,life sciences,2,M,3,3, sales executive ,1,married,1,unknown,22,4,part-time,1,2,9,1,8,yes,5129,9
32,no,travel_rarely,1,3,medical,1,M,3,2, manufacturing director ,4,married,1,Yes,22,2,full-time,1,3,9,7,8,yes,6162,9
30,no,travel_rarely,1,1,life sciences,4,M,2,2, laboratory technician ,4,married,1,unknown,12,3,full-time,2,3,10,3,0,no,5126,9
46,yes,non-travel,9,2,medical,3,M,2,3, sales executive ,4,unknown,1,No,16,4,full-time,0,3,9,4,7,no,9619,9
30,no,travel_rarely,4,2,unknown,3,F,2,2, sales executive ,2,unknown,1,Yes,12,2,full-time,3,2,11,2,7,no,6137,11
32,no,non-travel,6,4,unknown,2,M,3,2, sales executive ,3,single,1,No,16,1,part-time,0,3,11,5,7,yes,5010,12
35,no,travel_rarely,37,5,marketing,3,M,3,3, sales executive ,2,married,1,unknown,13,1,full-time,2,3,10,0,6,no,6399,11
32,no,non-travel,8,3,marketing,2,F,3,3, sales executive ,4,single,1,unknown,14,4,part-time,0,3,9,3,7,yes,5129,9
41,no,travel_rarely,34,3,life sciences,1,M,3,1, research scientist ,3,divorced,4,No,12,1,full-time,1,3,9,1,8,yes,6399,11
40,no,travel_rarely,4,1,medical,4,F,3,5, manager ,3,unknown,1,No,14,2,full-time,1,3,20,9,9,no,19033,21
45,no,non-travel,2,2,unknown,1,M,2,4, manager ,4,married,9,No,23,4,full-time,1,3,20,11,8,yes,11681,22
32,yes,travel_rarely,4,4,unknown,4,M,1,3, sales executive ,4,married,1,No,11,3,part-time,0,2,14,9,8,no,10400,14
30,no,non-travel,1,1,life sciences,3,M,2,3, manufacturing director ,3,unknown,1,No,22,3,part-time,0,3,11,5,8,yes,6399,11
37,no,non-travel,11,3,unknown,2,M,3,3, research director ,4,unknown,1,unknown,14,3,full-time,3,3,10,0,7,yes,6399,11
37,no,non-travel,4,4,unknown,1,M,3,1, sales representative ,4,divorced,4,No,17,3,part-time,1,3,9,5,8,no,2793,13
40,no,non-travel,24,2,technical degree,1,M,3,2, research scientist ,4,unknown,1,No,17,1,full-time,2,3,9,4,7,no,6399,11
36,no,non-travel,24,4,unknown,2,F,3,2, laboratory technician ,2,married,7,unknown,15,3,full-time,1,3,9,0,8,yes,5674,11
32,no,travel_rarely,7,3,life sciences,4,M,2,2, sales executive ,3,married,1,unknown,14,3,full-time,1,2,13,4,8,yes,7145,13
38,no,non-travel,25,2,life sciences,1,F,2,3, research director ,2,unknown,3,unknown,17,3,full-time,1,3,10,0,1,yes,6399,11
30,no,travel_rarely,28,2,unknown,4,F,3,2, research scientist ,4,married,1,No,13,4,part-time,2,3,10,1,9,yes,6137,11
39,no,non-travel,1,1,unknown,2,M,3,5, manager ,3,unknown,1,unknown,14,3,full-time,1,3,21,1,6,yes,19197,21
60,no,non-travel,7,3,life sciences,1,F,3,5, manager ,1,unknown,5,No,11,4,part-time,0,1,29,11,10,yes,17225,33
30,no,non-travel,22,4,other,3,F,3,3, sales executive ,1,unknown,0,unknown,11,3,full-time,0,3,9,7,8,yes,8412,10
31,no,travel_rarely,9,1,unknown,3,M,3,3, manufacturing director ,2,divorced,1,No,25,4,full-time,1,4,13,0,8,yes,6399,11
