,age,attrition,business_travel,distance_from_home,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income_$,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,worklife_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,remote_work
35,46,no,travel_rarely,1,2,,2,F,3,3, sales executive ,1,divorced,,1,No,25,4.0,3,full-time,3,24.0,3.0,24,15,7,yes
36,43,no,non-travel,16,3,,4,F,3,4, manager ,4,married,16064.0,5,,22,4.0,3,full-time,1,22.0,3.0,17,1,9,yes
37,36,no,non-travel,6,3,life sciences,4,M,3,1, laboratory technician ,4,married,3210.0,0,,11,3.0,3,full-time,1,16.0,3.0,15,10,11,yes
38,60,no,travel_frequently,28,3,,3,F,2,3, sales executive ,1,married,10266.0,4,No,19,3.0,4,full-time,0,22.0,4.0,18,13,11,yes
39,40,no,travel_frequently,5,4,,4,M,2,3, sales executive ,1,married,10475.0,5,Yes,21,4.0,3,part-time,1,20.0,3.0,18,1,12,no
40,32,no,travel_rarely,4,3,,3,F,2,2, manufacturing director ,3,married,6162.0,1,No,12,3.0,3,part-time,1,14.0,3.0,14,6,8,no
41,41,no,travel_rarely,35,3,,35,M,3,1, laboratory technician ,1,single,4721.0,2,Yes,13,,3,full-time,0,20.0,3.0,18,2,17,yes
42,53,no,non-travel,2,2,medical,3,M,3,4, manager ,3,divorced,,6,No,13,3.0,3,full-time,1,22.0,4.0,17,15,2,no
43,36,yes,travel_rarely,16,4,,3,F,4,1, laboratory technician ,1,single,,1,,16,3.0,3,part-time,0,18.0,3.0,17,15,14,yes
44,46,no,non-travel,8,4,life sciences,4,F,2,2, research scientist ,1,divorced,4615.0,8,Yes,23,4.0,1,full-time,3,,3.0,16,1,7,no
45,38,no,travel_rarely,1,4,,4,M,3,2, sales executive ,2,married,,0,No,15,3.0,1,full-time,2,16.0,,15,5,8,yes
46,51,no,non-travel,1,4,,1,F,2,3, healthcare representative ,1,single,,3,,20,4.0,3,full-time,0,23.0,2.0,13,12,8,yes
47,43,no,non-travel,26,2,,3,M,3,4, manager ,4,married,16959.0,1,Yes,12,3.0,4,part-time,2,25.0,4.0,25,4,12,yes
48,37,no,non-travel,1,3,life sciences,4,F,3,1, research scientist ,4,single,,1,No,12,3.0,2,part-time,0,,3.0,17,5,7,yes
49,32,no,travel_rarely,8,2,technical degree,3,F,2,2, sales executive ,2,married,,1,Yes,11,3.0,4,part-time,0,,3.0,13,11,9,yes
50,38,no,non-travel,1,3,,4,F,3,3, research director ,1,married,,1,,13,3.0,2,full-time,1,15.0,3.0,15,5,11,no
51,46,no,non-travel,3,3,life sciences,3,F,3,4, manager ,2,,,8,No,12,3.0,4,part-time,1,23.0,4.0,13,5,1,yes
52,35,yes,travel_rarely,10,3,medical,4,M,2,3, sales executive ,1,married,10306.0,9,,17,3.0,3,full-time,0,15.0,,13,6,0,no
53,43,no,non-travel,6,3,medical,1,F,2,5, manager ,3,married,,7,No,13,3.0,4,full-time,0,21.0,3.0,16,6,14,yes
54,56,no,non-travel,1,4,life sciences,3,M,3,2, healthcare representative ,3,divorced,,1,No,21,,1,full-time,1,,2.0,13,1,9,yes
55,36,no,non-travel,15,4,marketing,4,M,1,2, sales executive ,4,divorced,5406.0,1,No,24,4.0,1,part-time,1,,2.0,15,11,11,yes
56,38,no,non-travel,6,3,medical,2,F,1,2, research scientist ,4,,,7,,12,3.0,4,full-time,3,17.0,3.0,13,1,9,yes
57,49,no,non-travel,26,4,medical,3,F,3,2, manufacturing director ,1,,,1,No,14,3.0,3,full-time,0,16.0,2.0,15,5,11,no
58,39,no,travel_rarely,4,4,life sciences,4,F,2,2, sales executive ,3,married,5902.0,4,,14,3.0,3,part-time,1,17.0,4.0,15,5,9,yes
59,40,no,non-travel,4,4,,3,M,2,3, sales executive ,4,married,10855.0,7,No,11,,1,full-time,1,15.0,2.0,12,2,11,yes
60,36,no,non-travel,5,2,,4,M,3,2, laboratory technician ,2,single,5914.0,8,No,16,3.0,4,part-time,0,16.0,4.0,13,3,7,yes
61,37,no,non-travel,25,5,,2,F,3,2, research scientist ,3,married,,3,Yes,15,3.0,1,part-time,2,15.0,3.0,13,10,7,no
62,35,no,non-travel,6,4,,2,M,1,2, research scientist ,4,,6646.0,1,,13,3.0,2,full-time,0,,3.0,17,11,8,yes
63,33,no,travel_frequently,6,3,life sciences,3,M,3,2, healthcare representative ,4,divorced,,3,No,23,4.0,3,full-time,1,15.0,1.0,13,4,7,no
64,50,no,travel_rarely,24,3,,4,M,3,4, manufacturing director ,3,married,13973.0,3,Yes,18,3.0,4,full-time,1,22.0,3.0,12,1,5,no
65,48,no,travel_rarely,4,4,,3,M,2,3, healthcare representative ,3,single,,7,,14,,2,part-time,0,27.0,3.0,15,4,8,yes
66,44,no,travel_rarely,28,3,,4,F,4,4, sales executive ,4,married,13320.0,3,,18,3.0,3,part-time,1,,3.0,12,11,11,yes
67,44,no,travel_rarely,29,4,,4,M,3,2, research scientist ,4,single,,1,,25,4.0,2,full-time,0,,3.0,20,13,17,yes
68,40,no,non-travel,25,1,,25,F,4,2, healthcare representative ,3,,,5,No,20,4.0,2,full-time,3,15.0,3.0,12,11,8,yes
69,34,no,travel_rarely,2,4,,3,F,3,2, healthcare representative ,4,single,6687.0,1,,11,3.0,4,part-time,0,14.0,4.0,14,4,11,yes
70,35,no,non-travel,8,4,,3,F,3,2, healthcare representative ,3,,,1,,12,3.0,4,part-time,1,,3.0,14,2,9,yes
71,50,no,non-travel,17,5,life sciences,4,F,2,3, research director ,1,,,5,No,15,3.0,3,full-time,3,,3.0,14,1,11,no
72,49,no,non-travel,6,1,life sciences,3,F,2,4, healthcare representative ,3,,,2,,19,3.0,2,part-time,1,,3.0,15,2,12,yes
73,38,no,travel_frequently,1,3,life sciences,4,M,3,2, research scientist ,4,,4735.0,7,No,15,3.0,4,part-time,2,19.0,,13,2,9,yes
74,33,no,non-travel,21,3,,2,M,4,1, laboratory technician ,2,,,1,No,18,3.0,4,full-time,3,14.0,,14,2,13,yes
75,47,no,travel_rarely,4,3,life sciences,3,F,2,3, manufacturing director ,2,divorced,,8,Yes,12,,3,full-time,1,,3.0,22,14,10,yes
76,38,no,non-travel,8,3,,4,F,2,2, research scientist ,2,divorced,,1,,16,3.0,3,full-time,1,20.0,3.0,20,0,7,no
77,37,no,travel_rarely,10,3,life sciences,3,F,4,3, research director ,4,,,1,Yes,25,4.0,1,full-time,1,16.0,3.0,16,6,8,yes
78,30,no,non-travel,2,3,,3,M,2,2, healthcare representative ,4,married,,1,No,19,,1,part-time,3,11.0,3.0,11,10,8,yes
79,58,no,travel_rarely,18,4,,4,M,3,4, sales executive ,3,single,13872.0,0,,13,3.0,3,full-time,0,38.0,2.0,37,1,8,yes
80,34,no,travel_rarely,5,3,,3,F,2,3, manager ,1,single,,2,,12,3.0,4,part-time,0,14.0,3.0,11,5,8,no
81,58,yes,travel_rarely,23,4,medical,4,F,3,3, healthcare representative ,4,married,,1,,12,3.0,4,full-time,1,40.0,2.0,40,15,6,yes
82,38,no,non-travel,3,3,life sciences,1,M,3,3, sales executive ,3,divorced,,0,,12,3.0,3,full-time,2,,2.0,16,5,13,yes
83,29,no,travel_frequently,1,1,,2,F,3,3, sales executive ,4,married,,1,,14,3.0,4,full-time,1,11.0,3.0,11,4,1,yes
84,55,no,travel_rarely,1,3,medical,4,M,3,5, manager ,1,single,19045.0,0,,14,3.0,3,full-time,0,37.0,3.0,36,4,13,yes
85,41,no,non-travel,10,4,,4,M,3,4, manager ,2,,16015.0,1,,19,3.0,2,full-time,0,,3.0,22,0,4,yes
86,39,no,travel_rarely,1,3,,3,M,4,3, healthcare representative ,4,,9613.0,0,No,17,,1,part-time,3,19.0,2.0,18,3,7,no
87,38,no,non-travel,15,2,life sciences,3,M,2,3, research director ,4,,11510.0,0,,14,3.0,2,full-time,1,,3.0,11,2,9,yes
88,43,no,non-travel,12,3,,1,M,2,4, research director ,2,,,1,No,11,3.0,3,part-time,1,,,25,3,9,yes
89,31,no,non-travel,30,2,,2,F,3,2, manufacturing director ,1,married,4306.0,1,No,12,3.0,2,part-time,1,13.0,1.0,13,3,12,yes
90,50,no,travel_rarely,27,4,life sciences,27,M,2,4, manager ,3,married,17046.0,0,No,15,3.0,2,full-time,1,28.0,3.0,27,15,7,yes
91,35,no,non-travel,25,3,technical degree,4,M,2,3, manufacturing director ,2,married,,3,No,16,,1,full-time,0,,3.0,13,4,8,no
92,47,no,non-travel,16,4,,3,M,4,2, manufacturing director ,3,,5067.0,1,Yes,19,3.0,3,full-time,0,20.0,,19,2,7,yes
93,35,no,non-travel,25,4,,3,F,3,3, healthcare representative ,3,divorced,,1,Yes,11,,3,full-time,1,,2.0,16,10,1,yes
94,40,no,travel_rarely,20,4,,1,M,3,3, healthcare representative ,4,married,,4,,20,4.0,4,full-time,1,14.0,3.0,11,11,1,yes
95,45,no,non-travel,9,4,life sciences,2,F,2,2, sales executive ,3,married,,1,,13,3.0,4,part-time,1,15.0,3.0,15,4,12,no
96,33,no,non-travel,9,3,medical,1,M,3,1, research scientist ,4,married,,0,,13,3.0,2,full-time,1,15.0,3.0,14,4,10,no
97,36,no,travel_frequently,3,3,,3,M,3,1, research scientist ,2,married,3692.0,1,No,12,3.0,3,full-time,0,12.0,2.0,11,0,7,no
98,45,yes,non-travel,13,3,marketing,1,F,1,5, manager ,2,,,2,Yes,16,3.0,1,full-time,0,26.0,3.0,24,1,11,yes
99,51,no,travel_frequently,27,3,,27,M,3,5, manager ,2,,19847.0,4,Yes,24,,1,full-time,1,,2.0,29,11,10,no
100,34,no,travel_rarely,7,2,technical degree,2,M,3,1, sales representative ,3,,2308.0,0,Yes,25,4.0,2,full-time,1,12.0,3.0,11,5,7,no
101,43,no,travel_rarely,15,2,,3,M,2,4, research director ,3,,,1,No,24,4.0,1,full-time,1,,3.0,14,6,11,yes
102,34,no,non-travel,5,2,medical,2,M,2,2, laboratory technician ,4,,,1,No,14,3.0,3,full-time,1,,,15,4,13,no
103,38,no,non-travel,2,3,,1,M,3,1, human resources ,2,divorced,,5,No,13,3.0,4,full-time,3,13.0,3.0,11,3,8,yes
104,48,no,non-travel,10,3,,4,M,2,5, research director ,2,,,4,No,12,3.0,4,full-time,0,29.0,3.0,22,12,9,no
105,34,no,non-travel,22,4,other,3,M,2,2, research scientist ,4,married,5747.0,1,Yes,15,3.0,2,full-time,0,16.0,3.0,15,6,11,no
106,32,no,travel_rarely,31,4,,31,F,3,3, sales executive ,4,,10422.0,1,No,19,3.0,3,full-time,2,14.0,3.0,14,5,7,yes
107,29,no,travel_rarely,21,4,life sciences,2,F,4,3, manufacturing director ,1,divorced,,1,No,11,3.0,3,full-time,1,10.0,3.0,10,8,8,no
108,46,no,non-travel,1,3,medical,3,M,2,3, healthcare representative ,1,married,,2,Yes,13,3.0,3,full-time,1,21.0,2.0,10,9,5,no
109,30,no,non-travel,9,3,,3,M,3,2, human resources ,4,married,6347.0,0,Yes,19,3.0,4,part-time,0,,1.0,11,4,7,no
110,45,no,non-travel,9,3,life sciences,2,M,3,2, laboratory technician ,2,,2348.0,8,No,18,3.0,3,full-time,1,20.0,,17,0,15,yes
111,30,no,travel_rarely,5,3,,2,F,3,3, sales executive ,4,,,2,No,12,3.0,3,full-time,1,,3.0,10,7,4,yes
112,30,no,non-travel,9,3,,3,M,3,2, laboratory technician ,1,,3072.0,1,No,11,,3,part-time,2,12.0,3.0,12,6,10,yes
113,34,no,travel_frequently,29,1,,4,M,2,2, manufacturing director ,3,married,,1,,17,3.0,3,full-time,0,10.0,2.0,10,1,9,no
114,51,no,travel_rarely,8,4,life sciences,2,M,2,3, research director ,2,married,12490.0,5,No,16,3.0,4,full-time,2,16.0,1.0,10,4,7,no
115,34,no,non-travel,39,4,life sciences,39,M,2,2, manufacturing director ,1,,,6,,13,3.0,2,full-time,1,13.0,3.0,11,5,9,yes
116,35,no,travel_rarely,16,3,,3,M,3,3, sales executive ,2,married,8020.0,0,,15,3.0,3,full-time,2,12.0,2.0,11,6,9,yes
117,45,no,travel_frequently,7,3,life sciences,1,M,3,3, laboratory technician ,1,,,1,,18,3.0,1,full-time,1,24.0,3.0,24,9,11,yes
118,39,no,non-travel,10,1,,3,M,3,4, manager ,1,married,17068.0,1,,14,,4,full-time,0,21.0,3.0,21,11,10,yes
119,31,no,non-travel,7,2,,3,F,2,3, manufacturing director ,3,married,8943.0,1,No,24,4.0,1,full-time,1,10.0,3.0,10,8,9,no
120,39,no,non-travel,7,2,,3,M,2,5, manager ,4,married,19272.0,1,,15,3.0,1,full-time,1,,3.0,21,13,3,yes
121,45,no,travel_rarely,8,4,,4,M,3,2, research scientist ,4,,,9,No,14,3.0,1,part-time,2,12.0,3.0,10,9,8,yes
122,30,no,travel_rarely,5,3,marketing,4,F,2,2, sales executive ,3,,,1,,13,3.0,3,full-time,3,10.0,3.0,10,1,2,yes
123,31,no,non-travel,7,4,medical,3,F,3,3, manufacturing director ,4,,,1,,14,3.0,3,full-time,0,11.0,2.0,11,4,10,no
124,36,no,non-travel,3,4,medical,1,M,2,3, sales executive ,4,married,,4,No,11,3.0,1,full-time,1,16.0,3.0,13,1,12,yes
125,36,no,travel_rarely,2,2,,2,M,2,3, sales executive ,3,married,,1,,13,3.0,2,full-time,2,10.0,3.0,10,9,0,yes
126,55,no,travel_rarely,18,5,,1,F,3,4, manager ,2,single,,3,No,23,4.0,4,full-time,0,37.0,3.0,10,7,7,yes
127,35,no,non-travel,1,3,,2,M,3,2, sales executive ,3,,,9,,11,3.0,3,full-time,0,15.0,3.0,11,6,9,yes
128,42,no,travel_rarely,24,3,medical,4,M,3,3, manufacturing director ,1,married,,1,,21,4.0,4,part-time,1,10.0,2.0,10,5,8,no
129,52,no,travel_rarely,6,2,,4,M,3,2, research scientist ,1,divorced,5577.0,3,Yes,12,,2,full-time,2,18.0,3.0,10,6,9,yes
130,49,no,non-travel,18,4,life sciences,4,M,2,5, research director ,3,,,1,Yes,17,3.0,3,full-time,1,,3.0,31,0,9,yes
131,34,no,travel_rarely,1,5,,2,M,3,1, research scientist ,4,married,2691.0,1,No,12,3.0,4,part-time,1,,2.0,10,8,8,yes
132,33,yes,travel_rarely,1,4,other,4,M,3,1, research scientist ,4,single,,1,,13,3.0,3,part-time,0,10.0,2.0,10,7,8,no
133,33,no,non-travel,7,3,medical,3,M,3,3, research director ,3,married,,0,No,11,3.0,4,full-time,0,,4.0,13,3,7,yes
134,53,no,travel_rarely,23,4,,4,F,3,4, research director ,4,,,6,No,18,3.0,3,full-time,0,33.0,3.0,12,3,8,yes
135,49,no,travel_rarely,8,2,other,1,F,3,3, laboratory technician ,2,married,7403.0,4,,11,3.0,3,full-time,1,29.0,2.0,26,1,7,no
136,35,no,non-travel,21,4,,21,M,3,3, sales executive ,4,,,6,,13,3.0,2,part-time,1,,3.0,10,0,8,no
137,38,no,travel_rarely,17,1,life sciences,3,F,2,3, healthcare representative ,3,married,8823.0,0,,18,3.0,1,full-time,1,20.0,2.0,19,1,9,no
138,46,no,non-travel,3,1,marketing,1,M,3,4, manager ,3,married,,3,No,12,3.0,4,full-time,1,,3.0,12,4,9,no
139,36,no,non-travel,18,4,,1,M,3,2, manufacturing director ,4,single,,2,,20,4.0,1,full-time,0,18.0,3.0,11,0,9,no
140,42,yes,travel_frequently,15,3,life sciences,15,M,3,4, sales executive ,1,single,,0,,12,,2,full-time,0,,2.0,21,13,14,yes
141,34,no,travel_frequently,1,3,,4,M,2,2, healthcare representative ,1,single,,0,No,20,4.0,3,full-time,0,14.0,3.0,13,4,9,yes
142,30,no,travel_rarely,1,3,medical,4,M,3,1, research scientist ,2,,3579.0,0,Yes,21,4.0,1,full-time,1,12.0,3.0,11,5,7,yes
143,54,no,travel_rarely,3,3,life sciences,4,M,3,4, research director ,4,married,17779.0,3,No,14,3.0,1,part-time,0,36.0,3.0,10,0,9,yes
144,31,no,travel_rarely,24,3,medical,3,F,2,2, healthcare representative ,1,single,,1,No,19,,2,full-time,0,10.0,3.0,10,1,8,no
145,44,no,non-travel,5,3,,2,M,3,5, manager ,2,married,18213.0,7,No,11,3.0,3,part-time,1,26.0,3.0,22,3,10,yes
146,55,no,non-travel,8,1,,4,M,2,4, healthcare representative ,2,divorced,13577.0,1,Yes,15,3.0,4,full-time,1,,3.0,33,15,0,no
147,44,no,travel_rarely,4,2,life sciences,3,M,4,5, manager ,1,divorced,19190.0,1,No,14,3.0,4,full-time,2,,2.0,25,14,13,no
148,34,no,travel_frequently,11,3,life sciences,3,M,2,2, human resources ,2,,,4,No,11,3.0,4,full-time,2,14.0,4.0,10,1,8,yes
149,39,no,non-travel,13,4,,3,F,2,4, manager ,2,divorced,17123.0,6,Yes,13,3.0,4,full-time,2,,3.0,19,15,2,no
150,55,no,travel_rarely,2,2,medical,4,F,1,5, manager ,3,,19187.0,4,,14,,4,full-time,1,23.0,3.0,19,9,11,yes
151,51,no,non-travel,5,3,life sciences,3,M,3,4, manager ,2,,,1,,11,3.0,2,part-time,1,,3.0,33,0,10,yes
152,58,yes,non-travel,14,4,medical,14,F,2,3, manufacturing director ,1,married,10008.0,7,,14,3.0,4,part-time,0,,2.0,10,5,9,yes
153,48,no,non-travel,4,3,life sciences,4,M,3,3, manufacturing director ,4,single,,1,No,11,3.0,3,full-time,0,11.0,3.0,10,0,8,yes
154,29,no,travel_rarely,17,3,,2,M,2,3, human resources ,1,single,7988.0,1,,13,3.0,1,full-time,0,,2.0,10,0,9,no
155,34,no,non-travel,3,3,other,4,M,1,2, sales executive ,1,single,,3,No,18,,4,part-time,0,15.0,3.0,13,3,12,yes
156,42,no,travel_frequently,9,2,,1,F,3,1, laboratory technician ,4,,,1,,13,3.0,3,full-time,0,12.0,3.0,12,5,8,yes
157,57,no,travel_rarely,1,2,life sciences,2,M,4,2, research scientist ,3,married,,0,No,24,4.0,1,full-time,1,13.0,2.0,12,2,8,yes
158,34,yes,travel_rarely,24,4,,1,F,2,2, sales executive ,2,single,,0,Yes,23,4.0,3,full-time,0,16.0,4.0,15,10,10,no
159,54,no,travel_frequently,11,4,medical,2,F,3,4, manager ,4,,,3,No,20,,1,full-time,1,26.0,3.0,14,1,12,yes
160,34,no,travel_rarely,1,3,,4,M,2,3, sales executive ,3,,7083.0,1,,14,3.0,4,part-time,0,,3.0,10,8,6,no
161,29,no,non-travel,3,1,medical,2,M,3,1, laboratory technician ,1,single,4723.0,1,,18,3.0,4,full-time,0,,,10,1,5,yes
162,35,no,travel_rarely,28,3,life sciences,2,M,4,2, laboratory technician ,3,,3407.0,1,,17,,4,full-time,2,,2.0,10,6,8,yes
163,35,yes,non-travel,12,4,other,4,M,3,2, sales executive ,4,,,3,,24,4.0,1,full-time,0,13.0,4.0,11,6,7,yes
164,34,no,travel_rarely,19,3,life sciences,2,F,2,1, research scientist ,4,married,2929.0,1,No,12,3.0,2,full-time,0,10.0,3.0,10,8,7,yes
165,43,no,non-travel,2,3,,4,M,3,2, sales executive ,4,,,1,Yes,17,3.0,1,full-time,1,10.0,3.0,10,8,8,no
166,58,no,non-travel,2,3,medical,2,M,3,4, manager ,2,divorced,,4,No,22,4.0,4,full-time,1,37.0,2.0,16,14,14,yes
167,36,no,travel_rarely,14,4,,14,F,2,2, sales executive ,3,married,,1,Yes,13,3.0,1,full-time,1,10.0,3.0,10,1,7,no
168,43,no,travel_rarely,11,3,life sciences,1,M,3,3, healthcare representative ,3,married,,1,,17,3.0,2,full-time,1,10.0,3.0,10,0,9,yes
169,55,no,non-travel,26,4,human resources,3,M,4,5, manager ,2,married,,4,Yes,18,3.0,1,part-time,1,35.0,3.0,10,1,4,yes
170,42,no,non-travel,23,2,,4,M,2,2, research scientist ,3,single,,1,,12,3.0,4,part-time,0,20.0,3.0,20,3,7,yes
171,40,no,non-travel,11,3,technical degree,4,F,3,2, laboratory technician ,3,married,,1,,11,,1,full-time,1,10.0,4.0,10,9,4,yes
172,56,yes,non-travel,7,2,technical degree,4,M,3,1, laboratory technician ,3,married,,8,No,11,3.0,4,part-time,1,14.0,1.0,10,9,8,yes
173,39,no,travel_rarely,33,1,marketing,33,F,2,4, sales executive ,4,,12031.0,0,,11,3.0,1,part-time,1,,2.0,20,9,6,yes
174,53,no,travel_rarely,2,4,life sciences,1,F,2,4, manager ,4,married,15427.0,2,No,16,3.0,3,part-time,0,,3.0,25,3,7,yes
175,27,no,travel_frequently,8,3,,4,M,3,3, sales executive ,3,single,,1,No,15,3.0,4,full-time,0,9.0,3.0,9,1,7,no
176,30,no,travel_frequently,1,2,,3,F,3,2, laboratory technician ,4,,,1,,23,4.0,4,full-time,0,12.0,,12,3,7,yes
177,35,no,non-travel,18,5,life sciences,2,M,3,3, sales executive ,1,married,,1,,22,4.0,4,part-time,1,9.0,2.0,9,1,8,yes
178,32,no,travel_rarely,1,3,medical,1,M,3,2, manufacturing director ,4,married,6162.0,1,Yes,22,4.0,2,full-time,1,9.0,3.0,9,7,8,yes
179,30,no,travel_rarely,1,1,life sciences,4,M,2,2, laboratory technician ,4,married,5126.0,1,,12,3.0,3,full-time,2,,,10,3,0,no
180,46,yes,non-travel,9,2,medical,3,M,2,3, sales executive ,4,,9619.0,1,No,16,3.0,4,full-time,0,9.0,3.0,9,4,7,no
181,30,no,travel_rarely,4,2,,3,F,2,2, sales executive ,2,,,1,Yes,12,3.0,2,full-time,3,11.0,2.0,11,2,7,no
182,32,no,non-travel,6,4,,2,M,3,2, sales executive ,3,single,5010.0,1,No,16,3.0,1,part-time,0,12.0,3.0,11,5,7,yes
183,35,no,travel_rarely,37,5,marketing,3,M,3,3, sales executive ,2,married,,1,,13,3.0,1,full-time,2,,3.0,10,0,6,no
184,32,no,non-travel,8,3,marketing,2,F,3,3, sales executive ,4,single,,1,,14,3.0,4,part-time,0,9.0,3.0,9,3,7,yes
185,41,no,travel_rarely,34,3,life sciences,1,M,3,1, research scientist ,3,divorced,,4,No,12,3.0,1,full-time,1,,3.0,9,1,8,yes
186,40,no,travel_rarely,4,1,medical,4,F,3,5, manager ,3,,19033.0,1,No,14,3.0,2,full-time,1,21.0,3.0,20,9,9,no
187,45,no,non-travel,2,2,,1,M,2,4, manager ,4,married,,9,No,23,4.0,4,full-time,1,22.0,3.0,20,11,8,yes
